Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,305,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,985,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,3181,24,14,14,,No,Old,
Alabaster and Lloyd,1980,"Alabaster. J. S., and R. Lloyd. 1980. Finely divided solids. Pages 1-20 in Water quality criteria for freshwater fish. Butter worth, London. Cited by Newcombe and Jensen (1996).",,1,London,London,England,NA,Trigonostigma,heteromorpha,Rasbora,Harlequin,F,Adult,A,ANF,40000,24,10,10,,No,Old,
Alabaster and Lloyd,1980,"Alabaster. J. S., and R. Lloyd. 1980. Finely divided solids. Pages 1-20 in Water quality criteria for freshwater fish. Butter worth, London. Cited by Newcombe and Jensen (1996).",,1,London,London,England,NA,Trigonostigma,heteromorpha,Rasbora,Harlequin,F,Adult,A,ANF,6000,168,10,10,,No,Old,
Dadswell,1983,"Dadswell, M. J.. G. D. Melvin. and P. J. Williams. 1983. Effect of turbidity on the temporal and spatial utilization of the inner Bay of Fundy by American shad (Alosa sapidissima) (Pisces: Clupeidae) and its relationship to local fisheries. Canadian Journal of Fisheries and Aquatic Sciences 40(Supplement 1): 322-330. Cited by Newcombe and Jensen (1996).",,1,NA,New Brunswick,Canada,Bay of Fundy,Alosa,sapidissima,Shad,American,A,Adult,A,ANF,150,0.25,3,3,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Menidia,menidia,Silverside,Atlantic,E,Adult,A,ANF,58,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Menidia,menidia,Silverside,Atlantic,E,Adult,A,ANF,250,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Menidia,menidia,Silverside,Atlantic,E,Adult,A,ANF,1000,24,14,14,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,114,48,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,1309,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,6875,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,189,48,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,2034,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,8800,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,317,48,14,14,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Leiostomus,xanthurus,Spot,,E,Adult,A,ANF,11263,24,14,14,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,100,24,10,10,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,10000,24,10,10,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,300,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,18000,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,50000,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,53000,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,330000,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,500,24,14,14,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Apeltes,quadracus,Stickleback,Fourspine,E,Adult,A,ANF,200000,24,14,14,,No,Old,
LeGore and DesVoigne,1973,"LeGore. R. S.. and, D. M. DesVoigne. 1973. Absence of acute effects on three-spine sticklebacks (Gasterosteus aculeaius) and coho salmon (Oncorhynchits kisutch) exposed to re-suspended harbour sediment contaminants. Journal of the Fisheries Research Board of Canada 30:1240-1242. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,Duwamish Waterway,Gasterosteus,aculeatus,Stickleback,Threespine,A,Adult,A,ANF,28000,96,10,10,,No,Old,
Neumann,1975,"Neumann, D. A., J. M. O'Connor, J. A. Sherk, and K. V. Wood. 1975. Respiratory and hemalological responses of oyster toad fish (Opsanus tau) to suspended solids. Transactions of the American Fisheries Association 104:775-781. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,Patuxent River,Opsanus,tau,Toadfish,Oyster,E,Adult,A,ANF,3360,1,6,6,,No,Old,
Neumann,1975,"Neumann, D. A., J. M. O'Connor, J. A. Sherk, and K. V. Wood. 1975. Respiratory and hemalological responses of oyster toad fish (Opsanus tau) to suspended solids. Transactions of the American Fisheries Association 104:775-781. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,Patuxent River,Opsanus,tau,Toadfish,Oyster,E,Adult,A,ANF,14600,72,8,8,,No,Old,
Neumann,1975,"Neumann, D. A., J. M. O'Connor, J. A. Sherk, and K. V. Wood. 1975. Respiratory and hemalological responses of oyster toad fish (Opsanus tau) to suspended solids. Transactions of the American Fisheries Association 104:775-781. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,Patuxent River,Opsanus,tau,Toadfish,Oyster,E,Adult,A,ANF,11090,72,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Micropterus,salmoides,Bass,Largemouth,F,Adult,A,ANF,62.5,720,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Micropterus,salmoides,Bass,Largemouth,F,Adult,A,ANF,144.5,720,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Micropterus,salmoides,Bass,Largemouth,F,Adult,A,ANF,144.5,720,12,12,,No,Old,
Gardner,1981,Gardner. M. B. 1981. Effects of turbidity on feeding rates and selectivity of bluegills. Transactions of the American Fisheries Society 110:446-450. Cited by Newcombe and Jensen (1996).,,1,NA,North Carolina,USA,NA,Lepomis,macrochirus,Bluegill,,F,Adult,A,ANF,423,0.05,4,4,,No,Old,
Vinyard and Obrien,1976,"Vinyard, G. L., and W. J. O'Brien. 1976. Effects of light and turbidity on the reactive distance of bluegill (Lepomis macrochirus). Journal of the Fisheries Research Board of Canada 33:2845-2849. Cited by Newcombe and Jensen (1996).",,1,Lawrence,Kansas,USA,NA,Lepomis,macrochirus,Bluegill,,F,Adult,A,ANF,15,1,4,4,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Lepomis,macrochirus,Bluegill,,F,Adult,A,ANF,144.5,720,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Lepomis,macrochirus,Bluegill,,F,Adult,A,ANF,62.5,720,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Lepomis,macrochirus,Bluegill,,F,Adult,A,ANF,144.5,720,12,12,,No,Old,
Wallen,1951,"Wallen, E. I. 1951. The direct effect of turbidity on fishes. Oklahoma Agricultural and Mechanical College. Arts and Sciences Studies, Biological Series 48(2). Cited by Newcombe and Jensen (1996).",,1,NA,Oklahoma,USA,NA,Cyprinus,carpio,Carp,Common,,Adult,A,ANF,25000,336,10,10,,No,Old,
Vaughan,1979,"Vaughan, G. L. 1979. Effects of stripmining on fish and diatoms in streams of the New River drainage basin. Journal of the Tennessee Academy of Science 54:110-114. Cited by Newcombe and Jensen (1996).",,1,NA,Tennessee,USA,NA,,,Darter,,,Adult,A,ANF,2045,8760,14,14,,No,Old,
Erman and Lignon,1988,"Erman, D. C., and F. K. Lignon. 1988. Effects of discharge fluctuation and the addition of fine sediment on stream fish and macroinvertebrates below a water-filtration facility. Environmental Management 12:85-97. Cited by Newcombe and Jensen (1996).",,1,San Francisco,California,USA,NA,,,Fish,,,Adult,A,ANF,120,384,10,10,,No,Old,
Hesse and Newcomb,1982,"Hesse, L. W.. and B. A. Newcomb. 1982. Effects of flushing Spencer Hydro on water quality, fish, and insect fauna in the Niobrara River, Nebraska. North American Journal of Fisheries Management 2:45-52. Cited by Newcombe and Jensen (1996).",,1,Niobrara,Nebraska,USA,Niobrara River,,,Fish,,,Adult,A,ANF,620,48,10,10,,No,Old,
Herbert and Richards,1963,"Herbert, D. W. M.. and J. M. Richards. 1963. The growth and survival of fish in some suspensions of solids of industrial origin. International Journal of Air and Water Pollution 7:297-302. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Fish,,,Adult,A,ANF,900,720,12,12,,No,Old,
Vaughan,1979,"Vaughan, G. L. 1979. Effects of stripmining on fish and diatoms in streams of the New River drainage basin. Journal of the Tennessee Academy of Science 54:110-114. Cited by Newcombe and Jensen (1996).",,1,NA,Tennessee,USA,NA,,,Fish,,,Adult,A,ANF,2045,8760,12,12,,No,Old,
Wallen,1951,"Wallen, E. I. 1951. The direct effect of turbidity on fishes. Oklahoma Agricultural and Mechanical College. Arts and Sciences Studies, Biological Series 48(2). Cited by Newcombe and Jensen (1996).",,1,NA,Oklahoma,USA,NA,,,Fish,Warmwater,,Adult,A,ANF,100000,252,10,10,,No,Old,
Wallen,1951,"Wallen, E. I. 1951. The direct effect of turbidity on fishes. Oklahoma Agricultural and Mechanical College. Arts and Sciences Studies, Biological Series 48(2). Cited by Newcombe and Jensen (1996).",,1,NA,Oklahoma,USA,NA,,,Fish,Warmwater,,Adult,A,ANF,200000,1.125,10,10,,No,Old,
Menzel,1984,"Menzel, B. W.. J. B. Barnum. and L. M. Antosch. 1984. Ecological alterations of Iowa prairie-agricultural streams. Iowa State Journal of Research 59:5-30. Cited by Newcombe and Jensen (1996).",,1,NA,Iowa,USA,NA,,,Fish,Warmwater,,Adult,A,ANF,22,8760,12,12,,No,Old,
Wallen,1951,"Wallen, E. I. 1951. The direct effect of turbidity on fishes. Oklahoma Agricultural and Mechanical College. Arts and Sciences Studies, Biological Series 48(2). Cited by Newcombe and Jensen (1996).",,1,NA,Oklahoma,USA,NA,Carassius,auratus,Goldfish,,F,Adult,A,ANF,25000,336,10,10,,No,Old,
Horkel and Pearson,1976,"Horkel, J. D.. and W. D. Pearson. 1976. Effects of turbidity onventilation rates and oxygen consumption of green sunfish. Lepomis cyanellus. Transactions of the American Fisheries Society 105:107-113. Cited by Newcombe and Jensen (1996).",,1,Denton,Texas,USA,NA,Lepomis,cyanellus,Sunfish,Green,F,Adult,A,ANF,9600,1,5,5,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Lepomis,microlophus,Sunfish,Redear,F,Adult,A,ANF,62.5,720,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Lepomis,microlophus,Sunfish,Redear,F,Adult,A,ANF,144.5,720,9,9,,No,Old,
Buck,1956,Buck. D. H. 1956. Effects of turbidity on fish and fishing. Transactions of the North American Wildlife Conference 21:249-261. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Lepomis,microlophus,Sunfish,Redear,F,Adult,A,ANF,144.5,720,12,12,,No,Old,
